name,repeat,p_avg_w,duration_ms,T_s,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
sort,3,5.058762,8915,15.2936918,0x02b594f4,0x00000000,0x000ea600,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0191be12,0x00000000,0x00d4e13a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xcfdbbced,0xd8f95ec3
matmul,1,5.055709,17842,17.8422033,0x03e8c365,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x016452ca,0x00000000,0x00ae9751,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xdeff7561,0xe9a1f672
matmul,2,5.05586,17842,17.8422033,0x03e8c365,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x016452ca,0x00000000,0x00ae9751,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xef994bc8,0xfa3bccd9
matmul,1,5.057257,17842,17.8422033,0x03e8c365,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x016452ca,0x00000000,0x00ae9751,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x8d4ac785,0x97ed4896
matmul,2,5.057438,17843,17.8422033,0x03e8c365,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x016452ca,0x00000000,0x00ae9751,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x9dea5afa,0xa88cdc0b
matmul,3,5.057427,17842,17.8422033,0x03e8c365,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x016452ca,0x00000000,0x00ae9751,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xae747277,0xb916f388
crc,1,5.061059,49185,49.1840021,0x116a0211,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x009d7884,0x00000000,0x02be83c1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xbefe48ee,0xdc4f2b03
crc,2,5.060838,49186,49.1840021,0x116a0211,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x009d7884,0x00000000,0x02be83c1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xe2558eb5,0xffa670ca
crc,3,5.061053,49186,49.1840021,0x116a0211,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x009d7884,0x00000000,0x02be83c1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x05ac9e66,0x22fd807b
strings,1,5.056121,58541,0.0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
strings,1,5.056596,58541,58.5400022,0x0cfe6a91,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0493e004,0x00000000,0x03c14dc1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xb72d29d3,0xda11a8a9
strings,2,5.05709,58541,58.5400022,0x0cfe6a91,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0493e004,0x00000000,0x03c14dc1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xe03d96b5,0x0322158b
strings,3,5.057341,58542,58.5400022,0x0cfe6a91,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0493e004,0x00000000,0x03c14dc1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0932595b,0x2c16d831
mulh,1,5.050368,16200,16.2000002,0x0007a12d,0x00000000,0x00000000,0x00000000,0x01e84800,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0007a11f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x32462343,0x3bee0fc5
mulh,2,5.050317,16201,16.2000002,0x0007a12d,0x00000000,0x00000000,0x00000000,0x01e84800,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0007a11f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x41f62257,0x4b9e0ed9
mulh,3,5.05025,16201,16.2000002,0x0007a12d,0x00000000,0x00000000,0x00000000,0x01e84800,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0007a11f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x51a55077,0x5b4d3cf9
float,1,5.060006,12602,12.6000005,0x0016e369,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0016e35f,0x00000000,0x05b8d800,0x00000000,0x00000000,0x00000000,0x6164d45a,0x68e76fdf
float,2,5.060212,12602,12.6000005,0x0016e369,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0016e35f,0x00000000,0x05b8d800,0x00000000,0x00000000,0x00000000,0x6f4efff4,0x76d19b79
float,3,5.060324,10902,12.6000005,0x0016e369,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0016e35f,0x00000000,0x05b8d800,0x00000000,0x00000000,0x00000000,0x7ccc33a4,0x844ecf29
valid,1,5.051294,13351,13.3500002,0x00cdfe6d,0x00000000,0x005b8d80,0x00000000,0x002dc6c0,0x00000000,0x002dc6c0,0x00000000,0x005b8d82,0x00000000,0x007270df,0x00000000,0x005b8d80,0x00000000,0x03c14dc0,0x00000000,0xe7027988,0xeef785ea
valid,2,5.051355,13351,13.3500002,0x00cdfe6d,0x00000000,0x005b8d80,0x00000000,0x002dc6c0,0x00000000,0x002dc6c0,0x00000000,0x005b8d82,0x00000000,0x007270df,0x00000000,0x005b8d80,0x00000000,0x03c14dc0,0x00000000,0xf4eae57f,0xfcdff1e1
valid,3,5.051373,13351,13.3500002,0x00cdfe6d,0x00000000,0x005b8d80,0x00000000,0x002dc6c0,0x00000000,0x002dc6c0,0x00000000,0x005b8d82,0x00000000,0x007270df,0x00000000,0x005b8d80,0x00000000,0x03c14dc0,0x00000000,0x02e4069e,0x0ad91300
